19.4,61.7
19.4,62.0
19.4,62.63
20.05,60.0
19.4,61.87
19.4,62.23
19.4,63.0
19.4,63.0
19.4,63.0
19.4,63.1
19.4,64.0
19.18,64.0
19.0,64.0
19.0,64.0
19.0,64.0
18.88,65.93
19.8,61.0
19.8,62.0
19.41,62.97
19.4,63.93
19.4,60.67
19.4,61.17
19.4,62.57
19.4,63.0
19.4,63.0
19.24,63.0
19.0,63.0
19.0,63.0
19.0,63.0
19.0,63.0
19.0,63.0
19.0,63.0
21.8,56.0
20.8,57.0
20.48,57.5
20.2,58.63
20.2,60.0
19.95,60.97
19.8,61.0
19.8,61.5
19.4,62.0
19.4,62.0,2022-09-26 20:39:56
19.4,62.37,2022-09-26 20:40:58
19.16,63.0,2022-09-26 20:42:02
19.0,63.6,2022-09-26 20:43:03
19.0,64.0,2022-09-26 20:44:04
